B,num_digits,density,trial,x,y,x_support_size,y_support_size,raw_support_size,final_support_size,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
2,8,0.7,10,206,165,5,4,14,6,5,4,14,3,34,0.7142857142857143,0.5,6,7,20,3,3.684183719779189,0.15,14,12,15,3.521640636343318,0.7,12,67056,1.9728155339805826
2,8,0.7,11,191,255,7,8,15,8,7,8,15,7,268,0.875,1.0,7,7,56,7,3.6839644681185932,0.125,48,14,15,3.5983323666317553,0.8571428571428571,14,96900,1.9895287958115184
2,8,0.7,12,172,253,4,7,13,10,4,7,13,4,76,0.6666666666666666,0.875,5,7,28,4,3.5121884039686613,0.14285714285714285,18,10,15,3.197159723424149,0.6428571428571429,10,84672,1.945767074179612
2,8,0.7,13,190,231,6,6,14,9,6,6,14,4,108,0.8571428571428571,0.75,6,7,36,4,3.6761906261418305,0.1111111111111111,27,13,15,3.606015279620732,0.75,13,85736,1.9534290271132377
2,8,0.7,14,254,239,7,7,14,8,7,7,14,6,207,1.0,0.875,6,7,49,6,3.6452507938291285,0.12244897959183673,41,13,15,3.5563697745701734,0.8367346938775511,13,120392,1.983197706981188
2,8,0.7,15,251,252,7,6,13,9,7,6,13,5,164,0.875,1.0,7,5,42,5,3.5364046393960415,0.11904761904761904,33,12,15,3.422885785894001,0.7857142857142857,12,122416,1.9353696325807879
2,8,0.7,16,223,249,7,6,15,10,7,6,15,6,152,0.875,0.75,7,7,42,6,3.692696518367947,0.14285714285714285,32,12,15,3.452819531114783,0.7619047619047619,12,110160,1.9838997244583716
2,8,0.7,17,255,177,8,4,15,8,8,4,15,4,84,1.0,0.5,7,7,32,4,3.73345859334435,0.125,24,11,15,3.3443609377704333,0.75,11,89760,1.9887005649717515
2,8,0.7,18,255,254,8,7,14,8,8,7,14,7,280,1.0,1.0,7,6,56,7,3.6100053707958026,0.125,48,13,15,3.517079563925711,0.8571428571428571,13,128520,1.984251968503937
2,8,0.7,19,254,252,7,6,12,7,7,6,12,6,182,1.0,1.0,6,5,42,6,3.3983029951155594,0.14285714285714285,35,11,15,3.2910345475838985,0.8333333333333334,11,125984,1.9682539682539681
