trial,x,y,B,density,num_digits,raw_support_size,representation_counts,size_Sx,size_Sy,size_sumset,max_representation_count,additive_energy,support_density_x,support_density_y,diameter_x,diameter_y,raw_mass_total,max_raw_mass,diagonal_mass_entropy,diagonal_mass_concentration,carry_mass,carry_count,carry_depth,carry_entropy,carry_amplification_ratio,max_carry_cascade_length,value_weighted_carry,normalized_value_weighted_carry
19,3000030690,7574500900,10,0.5,10,15,"{3: 1, 4: 1, 6: 2, 7: 2, 8: 2, 9: 3, 10: 3, 11: 3, 12: 1, 13: 1, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1}",4,6,15,3,48,0.4444444444444444,0.75,8,7,777,105,3.5613743420465376,0.13513513513513514,80,15,19,3.5135675263247577,0.10296010296010295,13,21211231219770680000,0.9334394662269693
0,5938000000,8922226575,10,0.7,10,13,"{6: 1, 7: 2, 8: 3, 9: 4, 10: 4, 11: 4, 12: 4, 13: 4, 14: 4, 15: 4, 16: 3, 17: 2, 18: 1}",4,10,13,4,140,1.0,1.0,3,9,1200,151,3.59888258298554,0.12583333333333332,128,13,19,3.5993551444743455,0.10666666666666667,13,63341592471740000000,1.1955714532327064
1,4104715068,6100577037,10,0.7,10,19,"{0: 1, 1: 2, 2: 1, 3: 2, 4: 4, 5: 4, 6: 4, 7: 3, 8: 5, 9: 7, 10: 4, 11: 3, 12: 4, 13: 4, 14: 3, 15: 1, 16: 1, 17: 2, 18: 1}",8,7,19,7,214,0.8,0.7,9,9,1296,167,3.9035362742445128,0.12885802469135801,135,18,19,3.906182337669705,0.10416666666666667,16,21037575380735292750,0.8401208320619202
2,5636680027,2009400322,10,0.7,10,19,"{0: 1, 1: 2, 2: 2, 3: 1, 4: 1, 5: 3, 6: 5, 7: 4, 8: 3, 9: 5, 10: 5, 11: 3, 12: 2, 13: 3, 14: 3, 15: 2, 16: 1, 17: 1, 18: 1}",8,6,19,5,158,0.8,0.6,9,9,946,128,3.822833117842997,0.13530655391120508,95,18,19,3.740318432560004,0.10042283298097252,15,11169781384725102110,0.9861768952317954
3,7920010920,8206033848,10,0.7,10,18,"{1: 1, 2: 2, 3: 2, 4: 3, 5: 3, 6: 2, 7: 3, 8: 4, 9: 4, 10: 6, 11: 4, 12: 3, 13: 3, 14: 1, 15: 2, 16: 2, 17: 2, 18: 1}",6,8,18,6,156,0.6666666666666666,0.8,8,9,1260,161,3.9285084984613508,0.12777777777777777,129,18,19,3.903046328026591,0.10238095238095238,18,68355478634334968100,1.0517541740297702
4,8544000140,5800686006,10,0.7,10,17,"{1: 1, 2: 1, 4: 1, 5: 2, 6: 3, 7: 2, 8: 1, 9: 3, 10: 4, 11: 4, 12: 3, 13: 2, 14: 2, 15: 2, 16: 2, 17: 2, 18: 1}",6,6,17,4,92,0.6666666666666666,0.6,8,9,1014,112,3.866505359557387,0.11045364891518737,105,16,19,3.8161077280325517,0.10355029585798817,15,49670131003364200200,1.002200698522157
5,8392100502,5000000318,10,0.7,10,17,"{0: 1, 1: 1, 2: 2, 3: 1, 4: 1, 5: 1, 6: 2, 7: 3, 8: 3, 9: 4, 10: 2, 11: 2, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1}",7,4,17,4,60,0.7,0.4,9,9,510,104,3.548562960986464,0.20392156862745098,45,13,19,3.3033996323804824,0.08823529411764706,6,41410005304710104010,0.9868805232054866
6,7332018079,3206146903,10,0.7,10,19,"{0: 1, 1: 1, 2: 1, 3: 3, 4: 3, 5: 3, 6: 5, 7: 4, 8: 5, 9: 7, 10: 5, 11: 5, 12: 6, 13: 4, 14: 3, 15: 3, 16: 2, 17: 2, 18: 1}",8,8,19,7,274,0.8,0.8,9,9,1360,150,3.9869157935739565,0.11029411764705882,141,19,19,3.9766674382044984,0.1036764705882353,19,22253713057142048220,0.9466632965450495
7,4053073359,8354908000,10,0.7,10,16,"{3: 1, 4: 1, 5: 2, 6: 3, 7: 4, 8: 4, 9: 6, 10: 5, 11: 4, 12: 5, 13: 3, 14: 3, 15: 3, 16: 2, 17: 1, 18: 1}",8,6,16,6,182,0.8,0.8571428571428571,9,6,1443,201,3.7992961704865515,0.1392931392931393,152,16,19,3.7877984800404407,0.10533610533610534,16,31669152721620470000,0.935212510861114
8,6700991734,8590304001,10,0.7,10,19,"{0: 1, 1: 1, 2: 1, 3: 2, 4: 2, 5: 3, 6: 2, 7: 3, 8: 5, 9: 5, 10: 4, 11: 4, 12: 4, 13: 3, 14: 2, 15: 1, 16: 2, 17: 2, 18: 1}",8,6,19,5,154,0.8,0.6,9,9,1380,170,3.811523074718829,0.12318840579710146,144,16,19,3.720596624078078,0.10434782608695652,16,59981689260915210000,1.042008057204281
